date,borough,complaints_total,unique_complaints,topk_ABANDONED_VEHICLE_cnt,topk_BLOCKED_DRIVEWAY_cnt,topk_HEAT_HOT_WATER_cnt,topk_ILLEGAL_PARKING_cnt,topk_NOISE___RESIDENTIAL_cnt,topk_NOISE___STREET_SIDEWALK_cnt,topk_OTHER_cnt,topk_STREET_CONDITION_cnt,topk_UNSANITARY_CONDITION_cnt,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,census_income_borough_median,census_population_borough_sum,airbnb_listing_count,airbnb_price_mean,airbnb_price_median,airbnb_rating_mean,airbnb_total_reviews,airbnb_entire_home_pct,airbnb_per_1000_people_borough,day_of_week,is_weekend,month,temp_mean_lag1,temp_mean_ma7,precipitation_sum_lag1,precipitation_sum_ma7,complaints_total_ma7,log_complaints_total,event_day
2024-02-09,BRONX,1631,1631,21,87,256,206,203,37,725,9,87,5.254166666666666,11.4,0.9,0.0,0.0,0.0,10.129166666666666,17.5625,70.54166666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,2,2.3375,1.6672619047619046,0.0,0.0,1751.428571428571,7.397561535524052,0
2024-02-10,BRONX,1485,1485,18,72,213,215,263,75,556,12,61,8.450000000000001,15.9,1.8,0.1,0.1,0.0,10.558333333333334,17.695833333333333,99.58333333333331,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,2,5.254166666666666,2.7279761904761903,0.0,0.0142857142857142,1746.571428571429,7.303843225277705,1
2024-02-11,BRONX,1498,1498,23,58,286,260,290,67,455,6,53,6.745833333333334,9.0,3.6,0.0,0.0,0.0,10.279166666666669,17.724999999999998,99.66666666666669,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,6,1,2,8.450000000000001,3.5630952380952388,0.1,0.0142857142857142,1750.857142857143,7.312553498102598,0
2024-02-12,BRONX,1812,1812,27,75,429,179,136,11,804,5,146,3.8875,9.1,-1.8,0.1,0.1,0.0,7.175,14.583333333333334,97.20833333333331,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,0,0,2,6.745833333333334,3.991071428571429,0.0,0.0285714285714285,1743.0,7.502738210754851,0
2024-02-13,BRONX,1641,1641,12,81,537,116,163,7,594,15,116,0.7083333333333334,3.2,-1.6,27.7,0.4,19.11,17.045833333333334,29.291666666666668,65.41666666666667,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,1,0,2,3.8875,4.132142857142857,0.1,3.985714285714285,1671.0,7.403670290012373,0
2024-02-14,BRONX,1727,1727,18,73,533,151,109,7,737,10,89,-1.9666666666666668,0.3,-4.3,0.0,0.0,0.0,19.683333333333334,33.62083333333333,13.083333333333334,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,2,0,2,0.7083333333333334,3.630952380952381,27.7,3.985714285714285,1642.857142857143,7.454719949364001,1
2024-02-15,BRONX,1905,1905,19,57,495,192,201,3,791,14,133,-0.9,2.8,-5.4,0.2,0.0,0.14,13.595833333333331,25.225,39.79166666666666,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,3,0,2,-1.9666666666666668,3.168452380952381,0.0,4.014285714285714,1671.2857142857142,7.552762084214147,0
2024-02-16,BRONX,1679,1679,30,66,361,174,196,13,701,35,103,1.2583333333333333,5.1,-2.0,0.1,0.0,0.07,19.091666666666665,33.2625,32.458333333333336,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,4,0,2,-0.9,2.597619047619048,0.2,4.0285714285714285,1678.142857142857,7.426549072397305,0
2024-02-17,BRONX,1243,1243,8,75,362,154,257,11,326,8,42,-1.1458333333333333,2.2,-5.2,5.8,0.1,3.99,11.979166666666666,20.775,55.333333333333336,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,5,1,2,1.2583333333333333,1.2267857142857144,0.1,4.842857142857143,1643.571428571429,7.126087273299125,0
2024-02-18,BRONX,1618,1618,16,85,492,203,302,27,434,3,56,-1.8,4.9,-6.3,0.0,0.0,0.0,16.458333333333332,28.3375,0.9166666666666666,37804.0,1438797,949,118.40779768177028,89.0,4.721171393341553,33587,0.410958904109589,0.6595788009010305,6,1,2,-1.1458333333333333,0.0059523809523809,5.8,4.842857142857143,1660.7142857142858,7.389563953677635,0
